,Registration_State,Issue_Date,Vehicle_Make
196,NY,6/26/16 18:31,INFIN
197,NY,6/23/16 18:00,DODGE
198,NY,6/26/16 18:20,LEXUS
199,NJ,7/10/16 16:30,BMW
200,IL,7/4/16 21:50,MERCU
201,IL,7/4/16 21:54,
202,IL,7/4/16 22:00,
203,NY,7/4/16 22:04,DODGE
204,NJ,6/23/16 6:20,FORD
205,NY,6/26/16 19:35,CHRYS
206,NY,6/4/16 22:50,FORD
207,NY,7/12/16 18:15,LINCO
208,NY,7/19/16 22:55,VOLKS
209,NY,7/19/16 1:01,FORD
210,NY,6/27/16 18:10,BMW
211,NY,7/7/16 15:44,NISSA
212,NY,7/12/16 19:35,NISSA
213,NY,7/12/16 13:12,NISSA
214,PA,6/24/16 11:01,HINO
215,NJ,6/4/16 22:00,TOYOT
216,NY,6/4/16 21:25,SUBAR
217,NY,5/28/16 4:58,CHRYS
218,NY,5/26/16 19:02,HONDA
219,NY,3/20/16 21:39,ACURA
220,NY,5/17/16 19:35,CHRYS
221,NY,6/17/16 19:19,LEXUS
222,NY,5/18/16 12:36,ROVER
223,CA,5/18/16 2:04,KENWO
224,NY,6/18/16 17:04,CADIL
225,NJ,6/16/16 2:31,VOLKS
226,NY,5/22/16 5:30,FORD
227,NJ,6/22/16 19:28,BMW
228,CT,7/11/16 9:13,ISUZU
229,NJ,7/12/16 7:10,CHEVR
230,NY,7/12/16 11:03,HONDA
231,NJ,7/19/16 7:15,CHEVR
232,NY,7/19/16 7:36,HONDA
233,NY,7/19/16 7:41,CHEVR
234,PA,7/19/16 7:43,MAZDA
235,NJ,7/19/16 7:58,FORD
236,NY,7/19/16 8:06,GMC
237,NY,7/19/16 8:10,TOYOT
238,VA,7/19/16 8:18,
239,NY,7/19/16 8:21,BUICK
240,NY,7/19/16 8:32,HONDA
241,NY,7/19/16 8:37,NISSA
242,NY,7/19/16 8:40,HONDA
243,VA,7/19/16 8:48,FORD
244,NY,7/12/16 10:26,ACURA
245,NY,6/22/16 7:30,MERCU
246,99,6/23/16 7:40,TOYOT
247,NY,6/24/16 15:56,MAZDA
248,NY,6/24/16 17:18,HONDA
249,NJ,6/22/16 8:37,BUICK
250,NY,6/25/16 15:09,HONDA
251,NY,7/1/16 18:26,HONDA
252,NJ,6/23/16 9:46,VOLKS
253,NY,6/28/16 9:14,CHRYS
254,NJ,7/1/16 8:10,NISSA
255,MA,7/6/16 11:20,CHEVR
256,NY,7/12/16 8:43,ME/BE
257,NY,7/5/16 0:10,CHEVR
258,PA,6/18/16 0:40,HONDA
259,NY,7/7/16 3:00,HONDA
260,NY,7/6/16 1:33,DODGE
261,PA,6/25/16 2:14,TOYOT
262,MD,7/5/16 2:53,NISSA
263,NJ,6/14/16 11:22,INTER
264,NY,6/14/16 11:32,TOYOT
265,NY,6/14/16 11:35,HYUND
266,NY,6/14/16 11:47,MAZDA
267,NY,6/14/16 11:46,SUBAR
268,NY,6/14/16 11:50,HONDA
269,NJ,6/14/16 11:51,HONDA
270,OH,6/14/16 11:53,TOYOT
271,NJ,6/14/16 11:57,FORD
272,OH,6/14/16 11:59,TOYOT
273,NY,6/16/16 12:00,VOLKS
274,MS,6/14/16 12:04,CHEVR
275,NY,6/14/16 12:07,MAZDA
276,NY,6/16/16 11:43,THOMA
277,NY,6/16/16 11:45,HONDA
278,NY,6/16/16 11:48,HYUND
279,NC,6/16/16 12:04,SATUR
280,NJ,6/16/16 12:28,AUDI
281,NY,6/20/16 11:02,HONDA
282,NY,6/20/16 11:11,CHRYS
283,NY,6/20/16 11:42,CHEVR
284,NY,6/24/16 1:06,FORD
285,NY,6/24/16 1:24,ACURA
286,PA,7/6/16 4:50,NISSA
287,NY,7/6/16 4:48,HONDA
288,NY,6/24/16 4:06,TOYOT
289,NY,6/16/16 12:50,HONDA
290,NY,7/7/16 4:12,
291,NJ,6/21/16 1:31,
292,NY,7/7/16 4:07,CADIL
293,NY,7/8/16 4:26,NISSA
294,99,7/8/16 1:45,HONDA
295,99,7/8/16 1:54,CHRYS
296,NY,6/17/16 17:15,
297,NJ,6/17/16 7:25,HONDA
298,NY,6/27/16 17:05,
299,NY,6/27/16 17:10,
300,NY,6/17/16 1:47,FORD
301,NY,6/27/16 4:26,MITSU
302,NY,7/5/16 17:28,WORKH
303,NY,7/5/16 6:00,FRUEH
304,PA,6/18/16 22:36,HONDA
305,NY,6/18/16 22:56,ROVER
306,NY,6/19/16 18:06,DODGE
307,NY,6/18/16 22:53,ROVER
308,NJ,6/22/16 3:24,DODGE
309,NY,7/4/16 19:49,NISSA
310,NY,6/22/16 6:20,FORD
311,NY,6/16/16 17:52,FRUEH
312,PA,7/9/16 4:30,
313,NY,6/27/16 3:19,INFIN
314,NY,4/28/17 3:20,
315,NY,6/25/16 5:30,AUDI
316,NY,6/12/16 12:16,CHEVR
317,NJ,6/16/16 13:17,TOYOT
318,NY,7/11/16 1:08,TOYOT
319,PA,7/11/16 6:01,ME/BE
320,PA,6/17/16 12:55,NISSA
321,NY,6/20/16 9:31,HYUND
322,NJ,6/23/16 15:04,MACK
323,NY,7/8/16 13:35,WORK
324,NJ,7/3/16 12:55,CADIL
325,NY,7/3/16 9:09,KIA
326,NY,7/6/16 11:18,FEDEX
327,NY,7/11/16 14:53,AUDI
328,NJ,7/6/16 9:30,INFIN
329,NY,7/8/16 17:10,BMW
330,NY,7/2/16 22:00,HONDA
331,NY,7/2/16 16:06,TOYOT
332,NY,6/26/16 22:23,BMW
333,NY,6/26/16 22:00,GMC
334,NY,6/26/16 21:52,HONDA
335,NY,6/26/16 21:52,HONDA
336,NY,6/26/16 21:50,FORD
337,NY,6/19/16 20:45,MERCU
338,NY,6/17/16 20:45,MERCU
339,NY,6/17/16 22:20,VOLKS
340,NY,6/17/16 22:10,HONDA
341,NY,6/26/16 9:33,HONDA
342,PA,6/23/16 17:26,NISSA
343,NY,6/13/16 2:33,NISSA
344,NY,7/6/16 1:20,CHEVR
345,NY,7/6/16 1:40,LEXUS
346,NY,5/3/16 8:50,TOYOT
347,NY,6/9/16 15:05,ME/BE
348,NY,6/5/16 8:03,HONDA
349,NJ,5/25/16 11:43,FORD
350,NY,6/11/16 10:10,GMC
351,OH,7/2/16 13:25,HONDA
352,NY,6/7/16 11:18,LEXUS
353,PA,6/9/16 9:48,TOYOT
354,FL,6/19/16 18:38,NISSA
355,NY,6/6/16 12:22,NISSA
356,NY,6/13/16 12:56,
357,NY,6/3/16 19:15,VOLVO
358,NY,7/5/16 23:12,HONDA
359,NY,5/26/15 14:54,FIAT
360,NY,6/10/16 2:48,FORD
361,NY,6/16/16 6:25,TOYOT
362,NY,6/20/16 9:14,FORD
363,RI,5/19/16 1:05,HONDA
364,NY,5/22/16 9:15,MAZDA
365,PA,5/22/16 10:45,LEXUS
366,NY,6/15/16 13:18,BMW
367,NY,5/2/16 18:13,CHEVR
368,NY,6/16/16 21:16,FORD
369,NY,7/1/16 12:40,JEEP
370,NY,4/23/16 21:00,BUICK
371,PA,5/27/16 18:10,HONDA
372,NY,7/4/16 2:00,CHEVR
373,NY,7/3/16 23:55,GMC
374,NY,5/26/16 9:37,BMW
375,PA,5/22/16 22:57,FORD
376,VA,5/24/16 13:00,
377,NY,5/22/16 11:44,TOYOT
378,NY,5/22/16 11:44,TOYOT
379,NY,5/23/16 9:40,DODGE
380,NY,6/10/16 11:15,VOLKS
381,NY,5/22/16 13:37,HONDA
382,NY,6/16/16 21:52,HONDA
383,NJ,6/3/16 16:25,
384,NJ,5/25/16 16:00,
385,NY,5/11/16 22:45,FORD
386,PA,5/31/16 17:40,YAMAH
387,PA,6/1/16 16:45,YAMAH
388,PA,6/1/16 16:45,YAMAH
389,NY,6/3/16 21:26,TOYOT
390,NY,4/30/16 21:10,HYUND
391,PA,6/23/16 22:00,BMW
392,NY,6/5/16 18:50,ME/BE
393,NY,6/18/17 0:15,NISSA
394,NY,7/4/16 13:36,ME/BE
395,NY,7/10/16 0:03,INFIN
396,NY,7/10/16 2:45,HONDA
397,NY,6/15/16 2:40,ACURA
398,NY,5/30/16 12:12,FORD
399,NY,7/4/16 10:00,NISSA
400,NY,7/1/16 3:00,GMC
401,NY,5/28/16 2:08,LINCO
402,NY,5/25/16 18:03,LEXUS
403,NY,5/28/16 2:15,BUICK
404,NY,5/29/16 12:35,DODGE
405,NY,6/5/16 23:20,BMW
406,NY,6/16/16 23:00,SUBAR
407,PA,5/29/16 12:30,FORD
408,MD,5/3/16 9:00,DODGE
409,NY,5/18/16 12:45,DODGE
410,99,7/3/16 10:25,HONDA
411,NY,6/13/16 12:48,DODGE
412,NY,5/19/16 21:43,BUICK
413,NY,6/6/16 16:25,INTER
414,NY,5/29/16 17:15,VOLKS
415,NY,5/29/16 17:19,NISSA
416,NY,7/9/16 21:00,NISSA
417,NY,6/18/16 12:15,CHEVR
418,NY,6/18/16 12:25,FORD
419,NY,6/24/16 22:20,BMW
420,NY,7/2/16 23:15,BMW
421,NY,6/4/16 2:10,LINCO
422,99,6/4/16 2:10,LINCO
423,NY,6/20/16 2:05,ME/BE
424,NY,6/20/16 2:13,NISSA
425,NY,6/25/16 15:42,HYUND
426,NY,7/2/16 18:00,CADIL
427,PA,7/9/16 1:33,HONDA
428,NY,7/5/16 1:55,NISSA
429,NY,7/9/16 3:05,HONDA
430,NY,6/21/16 3:36,HONDA
431,NY,6/23/16 4:29,CHEVR
432,NY,7/6/16 17:03,LINCO
433,NY,6/17/16 17:55,DODGE
434,MA,6/24/16 18:10,NISSA
435,NY,6/19/16 20:26,ACURA
436,NY,6/25/16 17:30,NISSA
437,NY,6/28/16 21:07,TOYOT
438,NY,6/22/16 19:33,JEEP
439,NY,6/19/16 4:03,NISSA
440,PA,7/1/16 9:41,BMW
441,NY,7/16/16 17:19,DODGE
442,NY,6/22/16 20:57,FORD
443,SC,6/25/16 22:24,HYUND
444,NY,6/22/16 17:36,HYUND
445,NY,6/22/16 19:20,CHEVR
446,NJ,7/17/16 19:04,HONDA
447,NY,6/23/16 12:10,BMW
448,NY,6/25/16 22:45,CHEVR
449,NY,7/4/16 1:06,NISSA
450,NY,6/16/16 12:48,CADIL
451,NY,7/13/16 12:20,LINCO
452,NY,6/29/16 3:04,JAGUA
453,NY,6/23/16 2:06,TOYOT
454,NY,6/21/16 4:40,GMC
455,NY,6/30/16 4:35,NISSA
456,NY,6/22/16 9:47,
457,99,6/28/16 12:50,
458,PA,6/27/16 3:15,TOYOT
459,NY,6/20/16 6:09,LEXUS
460,NJ,6/16/16 5:00,INFIN
461,NY,6/16/16 12:47,TOYOT
462,PA,7/2/16 22:07,ME/BE
463,NY,6/24/16 10:00,ME/BE
464,NY,7/7/16 10:37,NISSA
465,TX,7/7/16 10:59,FORD
466,NY,7/7/16 11:58,SMART
467,PA,7/7/16 12:02,TOYOT
468,VA,7/14/16 9:36,CHEVR
469,NY,7/18/16 11:30,LEXUS
470,NY,6/22/16 9:05,TOYOT
471,NJ,6/17/16 7:49,FRUEH
472,NY,6/24/16 14:45,BMW
473,NY,6/24/16 14:47,BMW
474,NY,6/30/16 13:36,JEEP
475,MI,6/18/16 12:37,NISSA
476,NY,3/10/16 17:30,NISSA
477,NY,3/11/16 19:00,FORD
478,CT,3/12/16 12:30,BMW
479,NY,3/18/16 17:56,BMW
480,CT,3/18/16 19:45,SAAB
481,NJ,3/18/16 19:49,HONDA
482,IL,3/18/16 22:00,MAZDA
483,PA,4/2/16 18:20,NISSA
484,NJ,6/2/16 16:45,FORD
485,NY,6/9/16 17:45,TOYOT
486,PA,6/12/16 15:30,NISSA
487,PA,6/12/16 15:50,DODGE
488,NJ,6/12/16 16:40,VOLVO
489,NJ,5/10/16 17:50,ISUZU
490,NY,5/30/16 17:30,MITSU
491,NY,5/30/16 17:32,TOYOT
492,NY,5/10/16 14:05,CHEVR
493,NY,5/12/16 9:39,HINO
494,NY,5/12/16 9:45,MERCU
495,99,5/17/16 10:13,FRUEH
496,NJ,6/7/16 12:58,MITSU
497,NJ,6/9/16 11:06,KW
498,NY,6/23/16 9:31,INTER
